,St. No,Depth,S.D,W.T,Salinity,Turbidity,DO,pH,TSM,NH4-N,NO2-N,NO3-N,PO4-P,SiO2-Si,TN,TP
25,26,1.0,0.1,30.2,1.43,54.0,12.9,9.61,36.8,0.3603200000000003,0.024030000000000003,0.8554800000000005,0.19228,18.10608,32.6016,0.15904
26,27,0.75,0.2,30.0,1.43,68.7,13.22,10.05,25.6,4.862219999999999,0.29268,0.7417199999999999,0.19266,18.61551,43.56864,0.7952
27,28,0.75,0.75,29.6,6.11,8.09,9.35,9.14,10.4,0.3603200000000003,0.024030000000000003,1.31838,0.28842,29.63632,30.60928000000001,0.7554399999999999
28,29,1.0,0.75,31.5,1.61,19.3,9.03,9.39,21.6,0.40536000000000033,0.33642,0.77454,0.14421,28.78056,52.705920000000006,0.34790000000000004
29,30,0.75,0.1,29.0,1.17,96.8,12.9,9.71,36.4,0.3669599999999997,0.29268,0.009019999999999972,0.32448000000000005,21.85299,47.13984,0.65604
30,31,0.75,0.2,29.7,1.56,90.3,9.67,8.89,22.4,0.0,0.17073000000000002,0.7774699999999999,0.17238000000000003,14.56866,35.712,0.5268200000000001
31,32,0.75,0.0,29.5,0.58,186.0,9.67,8.8,96.4,0.0,0.14634,0.6725599999999998,0.17238000000000003,23.66217,59.10336,0.4473
32,33,2.75,0.75,29.2,0.06,16.9,6.45,7.5,14.0,0.0,0.09756000000000001,0.41964000000000024,0.31434,29.470589999999998,50.53248000000001,0.6162799999999999
33,34,1.75,0.75,27.5,27.0,15.9,9.28,7.9,48.0,4.745439999999999,0.15904000000000001,1.87472,0.18886000000000003,6.388019999999999,10.85136,0.38595000000000007
34,35,1.0,0.75,27.6,31.0,23.6,10.32,8.17,65.0,2.9659,0.11359999999999998,1.87779,0.19880000000000003,3.10143,5.564799999999999,0.56025
35,36,3.0,3.0,27.9,34.0,2.85,10.44,8.18,37.6,2.1184999999999996,0.11359999999999998,1.87779,0.17892000000000002,2.82369,9.042799999999998,0.53535
0,1,0.25,0.25,30.3,19.7,41.2,6.45,7.96,86.0,0.1271100000000001,0.08368,0.3627199999999998,0.10204,35.647040000000004,43.7108,0.4965
1,2,1.85,0.0,30.5,18.4,151.0,6.45,8.21,210.0,0.1271100000000001,0.10460000000000001,0.6542800000000001,0.10204,47.43882,28.7028,0.51636
2,3,2.25,0.0,30.5,17.8,80.7,8.06,8.33,136.8,0.33896000000000026,0.10460000000000001,0.5203599999999999,0.10204,16.41068,24.9508,0.40712999999999994
3,4,1.65,1.0,31.0,18.4,10.2,6.45,8.6,22.8,0.33896000000000026,0.10460000000000001,0.5203599999999999,0.05102,41.135380000000005,25.1384,0.11916000000000003
4,5,1.25,0.75,30.9,17.1,2.86,9.67,8.53,16.0,0.42370000000000035,0.02092,0.6486799999999999,0.15306,20.6492,23.45,0.4965
5,6,2.25,0.75,29.8,15.8,9.02,8.06,8.2,23.6,0.29659000000000024,0.0,0.71424,0.05102,32.16928,28.7028,0.19860000000000003
6,7,2.25,0.75,29.3,15.1,15.4,6.45,8.21,31.6,0.2542200000000002,0.0,0.31248000000000026,0.05102,32.16928,27.764799999999997,0.2979
7,8,0.25,0.25,32.8,16.2,1.88,5.8,8.64,14.8,0.33896000000000026,0.02092,0.4701199999999998,0.10204,37.54894,28.327599999999997,0.30783
8,9,0.25,0.25,34.0,17.1,9.26,2.9,7.28,29.6,0.33896000000000026,0.04184,0.4491999999999998,0.05102,37.05988,28.8904,0.37734000000000006
9,10,2.25,0.75,29.0,13.1,10.8,8.06,8.27,21.6,0.16948000000000013,0.06276000000000001,0.4729199999999998,0.10204,38.09234,28.7028,0.48657
10,11,0.8,0.8,29.5,16.6,3.1,8.38,8.69,12.0,0.16948000000000013,0.06276000000000001,0.65148,0.15306,47.275800000000004,28.7028,0.41705999999999993
11,12,1.65,0.6,29.4,14.2,13.8,6.45,8.73,46.8,0.8460000000000001,0.08544,0.48967999999999995,0.01814,47.0269,15.945999999999998,0.6951
12,13,2.25,0.6,29.1,15.1,16.3,8.06,8.2,29.2,0.21185000000000018,0.10460000000000001,0.3864399999999998,0.15306,48.47128000000001,29.2656,0.41705999999999993
13,14,1.0,1.0,30.6,14.7,4.77,9.67,9.27,9.2,0.9306000000000002,0.4271999999999999,0.6345599999999999,0.17233,69.34949999999999,28.84,0.32769
14,15,1.75,0.2,28.9,15.8,64.5,6.61,8.24,93.6,0.9306000000000002,0.1068,0.5568,0.05442,43.1041,22.6996,0.5759399999999999
15,16,1.5,0.0,29.7,16.7,258.0,6.45,8.2,341.0,1.269,0.08544,0.57816,0.05442,50.43600000000001,26.5,0.27804
16,17,0.85,0.25,30.2,18.4,42.7,8.86,8.54,78.4,1.0997999999999997,0.12816,0.5354399999999999,0.01814,50.43600000000001,26.5,0.27804
17,18,1.0,0.1,29.1,22.8,62.2,6.45,8.05,135.1,1.0511999999999997,0.54,1.3778,0.0368,39.84,24.8704,0.5958
18,19,1.35,1.35,28.8,13.3,0.87,6.93,9.33,10.4,0.8883000000000001,0.12816,0.6681600000000001,0.03628,45.3924,30.2036,0.2979
19,20,1.5,0.0,28.9,15.6,88.2,6.61,8.26,120.0,0.8883000000000001,0.34176,0.5872799999999996,0.2721,50.6695,27.201999999999998,0.4965
20,21,1.25,0.25,29.4,12.3,10.7,8.06,8.65,24.8,0.9729000000000002,0.14952,0.7795199999999997,0.05442,50.6695,28.7028,0.40712999999999994
21,22,0.75,0.0,30.9,12.6,329.0,6.61,8.03,356.0,2.8032,0.3375,4.925299999999999,0.21159999999999998,48.096000000000004,26.912000000000003,0.60573
22,23,1.0,1.0,28.1,10.1,5.55,9.6,9.11,16.0,0.1293000000000001,0.0675,0.15975000000000023,0.037,15.3384,13.131999999999998,0.27804
23,24,1.25,0.85,28.5,13.9,10.1,7.7,9.2,26.8,0.25859999999999966,0.2025,0.7974,0.037,21.8064,15.008,0.28796999999999995
24,25,1.0,0.25,29.6,13.5,3.46,7.41,9.54,14.8,0.5602999999999999,0.2025,1.161,0.04625,24.024,15.008,0.24825
25,26,1.0,0.0,29.5,5.0,742.0,6.4,8.58,1016.0,1.8533,0.2475,1.2069,0.04625,25.41,15.008,0.24825
26,27,0.75,0.0,30.3,5.0,438.0,6.45,8.95,298.0,0.1293000000000001,0.2925,4.2525,0.0925,25.502399999999998,17.446799999999996,0.5958
27,28,0.75,0.0,28.0,13.9,83.4,6.45,7.99,122.0,0.8181000000000002,0.13272,0.38098000000000015,0.049499999999999995,20.836199999999998,35.2688,0.5759399999999999
28,29,0.75,0.0,28.5,3.8,405.0,6.45,8.55,858.0,0.8181000000000002,0.13272,0.6144800000000001,0.049499999999999995,22.176000000000002,37.52,0.7944
29,30,0.75,0.0,29.9,2.5,510.0,9.67,8.17,816.0,0.9999000000000003,0.17696,0.5702400000000001,0.07919999999999999,23.1,41.27199999999999,1.0923
30,31,0.75,0.15,28.9,2.5,20.8,9.67,8.8,45.2,1.2726,0.2212,0.8062000000000002,0.07919999999999999,32.34,30.015999999999995,0.7546799999999999
31,32,0.75,0.0,30.0,0.25,595.0,7.09,8.24,1196.0,0.9544500000000002,0.2212,0.6194000000000002,0.07919999999999999,31.970399999999998,31.891999999999996,1.6881000000000002
32,33,2.5,0.0,30.2,0.25,67.9,8.7,8.04,88.0,0.68175,0.13272,0.7078800000000001,0.0594,32.4324,30.015999999999995,1.7873999999999999
33,34,1.5,0.1,28.1,33.4,152.0,6.45,8.06,247.7,2.1024,0.3825,3.0963000000000003,0.092,22.031999999999996,24.128,0.36741
34,35,2.0,0.1,28.5,34.8,91.7,7.41,8.15,172.5,0.21899999999999958,0.4725,3.0063,0.1288,25.104,24.128,0.37734000000000006
35,36,2.75,0.2,28.1,35.2,19.0,6.45,8.06,78.4,0.2627999999999996,0.9225,7.685300000000001,0.6808000000000001,22.56,40.831999999999994,0.8936999999999999
0,1,0.25,0.25,32.0,21.7,31.0,6.45,8.29,58.8,0.9544500000000002,0.1308,0.6615399999999998,0.28296,30.1185,19.162,0.8888000000000001
1,2,2.75,0.1,31.5,21.7,58.5,6.45,8.09,84.5,0.8181000000000002,0.1526,1.59972,0.18864,30.2155,17.42,0.35552
2,3,2.25,0.1,31.5,19.21,65.9,6.45,8.22,91.5,0.8181000000000002,0.1526,0.9748199999999997,0.18864,24.832,15.1554,0.39996000000000004
3,4,1.65,1.5,31.1,19.85,11.6,6.61,8.32,20.0,0.8635500000000002,0.19620000000000004,1.16478,0.18864,23.765,17.42,0.5332800000000001
4,5,1.0,1.0,31.7,19.21,0.07,7.41,8.33,19.6,1.3635,0.1744,1.41308,0.28296,26.578000000000003,25.0848,0.5332800000000001
5,6,2.25,0.25,31.3,19.53,13.1,6.45,8.01,25.2,1.0453500000000004,0.1744,1.57972,0.37728,28.615,20.904,0.5332800000000001
6,7,2.5,0.1,31.4,19.21,21.7,7.09,8.15,35.6,1.0453500000000004,0.1308,1.7447,0.33011999999999997,28.712,35.0142,0.8888000000000001
7,8,0.1,0.1,34.0,19.21,0.22,9.67,8.95,15.2,1.4544000000000001,0.1308,1.2864399999999998,0.33011999999999997,25.317,31.704399999999996,0.8888000000000001
8,9,1.0,1.0,30.9,19.5,0.44,6.45,8.01,19.2,1.9089000000000005,0.0872,1.6497199999999999,0.18864,26.19,32.7496,1.02212
9,10,2.5,0.75,31.1,19.5,11.8,6.47,8.28,15.6,1.9543500000000007,0.0872,1.6497199999999999,0.37728,24.2985,33.098,0.7999200000000001
10,11,0.75,0.75,30.5,19.5,0.11,7.41,8.16,25.6,1.2726,0.0872,2.1912999999999996,0.47159999999999996,25.3655,33.969,1.111
11,12,1.75,1.0,30.0,19.8,1.86,6.45,8.38,25.2,0.7726500000000001,0.71104,1.5625,0.196,20.9484,20.976000000000003,0.4901000000000001
12,13,2.5,0.35,30.7,19.8,16.0,7.41,8.75,30.4,1.6362000000000003,0.1526,2.1412999999999998,0.56592,29.197,33.969,1.24432
13,14,1.25,1.0,34.6,20.8,0.57,5.8,8.47,21.2,0.9090000000000003,0.22219999999999998,0.7344499999999999,0.147,20.56752,36.708,0.73515
14,15,2.0,1.0,30.0,20.8,4.4,4.83,8.43,21.2,0.8181000000000002,0.3999599999999999,0.74625,0.245,7.998479999999999,29.715999999999998,0.73515
15,16,1.5,0.75,31.6,19.8,12.6,5.8,8.35,44.4,0.8181000000000002,0.22219999999999998,1.0071500000000002,0.245,8.18892,24.472000000000005,0.73515
16,17,1.0,0.15,31.1,19.2,15.4,6.45,8.24,36.4,0.4090500000000004,0.22219999999999998,0.5981000000000002,0.245,8.569799999999999,26.22,0.5881200000000002
17,18,0.75,0.25,32.4,30.0,32.1,6.45,8.16,58.4,1.56492,0.34768,2.5345400000000002,0.693,0.68614,26.630360000000007,1.3532399999999998
18,19,1.5,1.5,30.5,19.2,1.14,4.8,8.75,14.0,0.36360000000000037,0.26664,0.5581000000000002,0.196,8.093699999999998,26.22,0.9802000000000002
19,20,1.75,1.0,29.5,19.5,2.02,5.8,8.54,31.2,14.089500000000003,0.26664,0.42174999999999996,0.147,8.093699999999998,31.8136,1.12723
20,21,1.25,0.75,30.6,18.8,16.3,6.12,8.05,42.8,0.9544500000000002,0.26664,1.1035,0.392,18.28224,31.1144,0.8821800000000001
21,22,0.75,0.0,29.9,19.3,160.0,7.74,8.1,234.0,0.69552,0.82574,3.72094,0.5445,42.58969,55.90612000000001,2.2554
22,23,1.0,1.0,29.1,14.96,0.09,7.09,8.81,12.4,3.0429000000000004,0.52152,2.8127999999999997,0.5445,13.722799999999998,20.634120000000003,1.2529999999999997
23,24,1.25,0.65,29.5,14.4,6.35,8.87,8.87,17.6,3.9122999999999997,0.30422,1.7829999999999997,0.792,8.42972,22.574080000000002,1.4033599999999997
24,25,1.1,0.25,31.5,15.8,15.6,6.45,8.14,28.4,3.0429000000000004,0.45633,1.9246199999999998,0.9405,15.78122,22.75044,1.2529999999999997
25,26,1.0,0.2,30.1,10.1,43.5,7.41,8.28,125.8,4.781700000000001,0.17384,1.4964000000000002,0.9405,15.78122,43.56092,1.7542
26,27,0.75,0.0,31.5,5.0,128.0,7.74,8.26,142.8,3.7818899999999998,0.21730000000000002,1.78968,0.693,48.27485,40.38644,2.0047999999999995
27,28,0.75,0.15,30.3,10.1,20.0,6.9,8.3,28.5,0.9544500000000002,0.08968000000000001,2.1925,0.24505,14.521049999999999,6.501639999999998,0.39504
28,29,1.0,0.0,31.7,0.32,140.0,6.0,8.54,155.2,1.8179999999999998,0.13452,2.597,0.39208,14.7591,6.8530799999999985,0.8888400000000002
29,30,1.0,0.0,31.4,0.64,642.0,7.5,8.04,864.0,4.545,0.80712,2.15425,0.39208,14.663879999999999,21.789279999999998,0.9875999999999999
30,31,0.75,0.75,32.4,0.96,0.87,6.9,9.13,8.8,4.545,0.15694,0.7590000000000002,0.58812,16.187399999999997,38.482679999999995,1.3826399999999999
31,32,0.75,0.0,31.9,0.64,111.0,9.67,8.55,111.0,1.4089500000000001,0.2242,0.6890000000000003,0.39208,17.6157,40.591319999999996,0.8888400000000002
32,33,3.0,0.2,31.3,0.32,22.5,6.0,7.99,19.8,1.8179999999999998,0.26904,1.5580000000000005,0.39208,17.6157,41.11848,1.03698
33,34,1.25,0.75,29.3,32.0,9.21,8.06,8.02,41.2,1.26063,0.47806,1.4463599999999999,0.594,42.93276,31.039360000000002,0.7517999999999999
34,35,0.75,0.6,29.5,32.0,8.3,6.12,8.05,42.4,0.3477600000000003,0.63017,1.3696799999999998,0.44550000000000006,39.208,27.688519999999997,0.6515599999999998
35,36,2.35,1.5,29.5,35.0,1.55,7.41,8.03,32.0,0.5216399999999999,0.32595,1.3464,0.0495,8.674769999999999,38.27012,0.7016799999999999
0,1,2.5,0.0,31.4,29.4,225.0,8.05,7.99,279.6,4.57434,0.65888,3.2335100000000008,0.24024999999999996,47.73888,68.3224,0.6396000000000001
1,2,,0.0,28.0,27.0,54.0,8.44,7.948,145.44,2.6240400000000004,0.20447999999999997,3.723620000000001,0.52855,106.17,70.32208,0.984
2,3,2.25,0.0,31.1,27.7,42.3,6.44,7.959,201.44,12.056400000000002,0.27264,0.7986599999999999,0.54777,45.91104,80.32047999999999,1.0922399999999999
3,4,1.25,0.15,31.2,18.1,45.0,8.05,7.784,77.04,2.94318,0.45439999999999997,3.3308600000000004,0.7495799999999999,53.706239999999994,81.6536,1.1807999999999998
4,5,1.25,0.25,31.1,21.0,40.0,8.05,8.016,79.8,3.1914,0.22719999999999999,1.2012000000000003,0.24024999999999996,46.717439999999996,81.6536,1.2792000000000001
5,6,2.5,0.2,31.2,20.48,41.6,8.44,7.909,88.24,2.1276,0.18176,0.85383,0.24985999999999997,35.696639999999995,83.15335999999999,1.23984
6,7,0.25,0.0,31.2,21.76,92.1,8.05,7.977,191.6,0.7935999999999996,0.33459999999999995,3.8663999999999996,0.1992,32.40585,29.180799999999994,3.84048
7,8,1.5,0.25,31.4,21.76,25.9,6.44,7.876,78.0,0.3174399999999997,0.33459999999999995,3.8663999999999996,1.0956000000000001,46.6317,36.608639999999994,4.9276
8,9,,,,,,,,,,,,,,,
9,10,2.85,0.15,32.2,13.0,164.0,7.08,7.977,183.28,5.674239999999999,0.6930999999999999,2.3316200000000005,1.17528,24.543000000000003,31.568319999999996,3.71856
10,11,1.25,0.75,31.6,12.8,10.9,9.66,7.819,59.23333333333332,2.5792,0.31070000000000003,2.63,0.6972000000000002,47.995200000000004,36.87391999999999,5.567679999999999
11,12,2.5,0.1,32.0,12.8,201.0,8.05,7.988,274.64,5.07904,0.7409,5.224519999999999,0.7968000000000001,26.86095,38.465599999999995,5.24256
12,13,2.5,0.25,30.8,12.8,44.5,7.08,7.909,135.28,16.22912,0.4301999999999999,5.66125,0.8167200000000001,31.4514,34.486399999999996,5.466079999999999
13,14,1.25,0.75,32.9,24.06,11.4,7.08,8.119,26.52,5.531759999999999,0.22912999999999997,1.04737,0.09192,22.338,23.0462,0.12972
14,15,2.5,1.25,31.6,26.24,8.15,6.76,8.164,27.62,0.79785,0.08331999999999999,0.8102299999999999,0.05745,10.556999999999999,12.9324,0.09729000000000006
15,16,1.75,1.5,32.1,25.6,0.05,6.76,8.272,27.18,0.95742,0.08331999999999999,1.36338,0.03447,14.229,9.119,0.11891
16,17,1.25,1.0,33.2,29.69,0.04,6.76,8.323,36.08,1.0638,0.18746999999999997,0.91883,0.09192,10.353,11.937599999999996,0.12972
17,18,1.0,0.35,31.2,33.15,31.9,6.76,8.062,23.6,0.5319000000000005,0.18775999999999998,0.49304,0.047599999999999976,7.1870400000000005,,0.60816
18,19,1.65,1.25,31.1,21.37,2.77,5.95,8.356,22.72,2.49993,0.06249,1.80971,0.04596,13.362,29.7748,0.25392000000000003
19,20,2.0,1.0,32.7,30.08,3.91,8.05,8.28,31.28,4.46796,0.08331999999999999,1.02298,0.03447,7.14,12.103399999999997,0.10809999999999999
20,21,1.5,0.25,33.6,23.04,22.6,9.66,8.395,62.16,3.563730000000001,0.22912999999999997,1.3877700000000002,0.25278,26.061,15.585199999999997,0.38916000000000006
21,22,1.0,0.2,32.1,20.73,29.2,6.44,7.852,65.73333333333333,1.86165,0.61022,1.0492299999999999,0.62832,35.31023999999999,,1.39008
22,23,1.5,0.25,29.7,16.0,6.12,3.22,8.139,54.8,7.824960000000002,0.26829,0.3286700000000001,0.24622,,7.818720000000001,0.84744
23,24,1.5,1.5,32.0,22.52,0.06,7.08,8.508,36.2,1.9680299999999995,0.020829999999999998,2.7023699999999997,0.06893999999999999,9.588,33.33,0.18767999999999996
24,25,1.25,1.25,32.2,23.29,0.98,7.72,8.163,14.36,1.91484,0.49992,2.4785799999999996,0.06893999999999999,40.035,31.996799999999993,0.20975999999999997
25,26,0.25,0.0,32.0,12.41,103.0,7.4,8.011,4.0,4.09563,0.31244999999999995,2.5383999999999998,0.11490000000000003,32.487,41.107000000000006,0.44160000000000005
26,27,1.0,0.0,33.5,9.37,19.8,8.37,8.202,40.44,1.1169900000000001,0.06249,1.0863600000000002,0.19533000000000003,61.1,54.12015,0.17664000000000002
27,28,1.0,0.75,30.9,,19.8,7.08,7.778,31.266666666666655,2.1736000000000004,0.19512000000000002,0.47646000000000005,0.26516,,8.081850000000001,0.8955900000000001
28,29,1.0,1.0,33.3,24.44,73.6,7.25,7.78,122.48,4.57434,0.18747,3.21653,0.18384,19.176,37.5518,0.30912
29,30,1.25,0.0,32.8,1.15,85.1,8.05,7.837,69.76,0.5850900000000004,0.08331999999999999,0.08688000000000014,0.18384,97.31,27.820800000000002,0.43056000000000005
30,31,1.0,1.0,33.0,25.72,0.09,9.98,8.549,18.74,2.0212199999999996,0.10414999999999999,0.3639000000000001,0.1149,17.493,49.555800000000005,0.16560000000000002
31,32,1.0,0.1,32.6,6.78,33.1,8.05,7.829,56.76,4.30839,0.08331999999999999,0.46983000000000014,0.10340999999999999,51.408,50.425200000000004,0.19871999999999998
32,33,3.25,0.25,32.7,0.12,84.4,5.47,7.35,31.12,1.3297500000000004,0.08331999999999999,0.5123800000000003,0.12639,149.74,42.38325,1.12608
33,34,1.75,0.1,31.6,33.53,15.1,6.76,8.028,46.36,3.51054,0.14082,0.6250800000000001,0.5426399999999999,4.79136,,0.15203999999999998
34,35,2.0,0.75,31.6,33.79,5.91,6.44,8.088,60.0,1.5425099999999998,0.30511,1.39689,0.3807999999999999,4.06224,,0.24978000000000006
35,36,3.5,1.5,29.9,33.79,24.3,7.4,8.085,27.0,2.76588,0.16428999999999996,0.6441600000000002,0.3332,2.29152,,0.2932199999999999
0,1,0.75,0.75,30.0,30.72,1.13,6.44,8.44,53.0,0.36360000000000003,0.18512,0.3433300000000002,0.019920000000000004,5.045699999999999,3.8459999999999983,0.07799999999999999
1,2,2.75,0.25,30.0,30.72,15.0,9.01,8.22,127.3,0.36360000000000003,0.02314,0.5053100000000001,0.019920000000000004,5.045699999999999,10.768799999999999,0.07799999999999999
2,3,2.75,0.75,31.0,29.6,14.0,4.83,8.28,125.0,0.4545000000000001,0.04628,0.5634699999999997,0.019920000000000004,5.320919999999999,10.768799999999999,0.08775
3,4,2.25,2.0,29.0,29.4,3.11,4.83,8.33,88.9,0.4545000000000001,0.13884000000000002,0.3896100000000002,0.029880000000000004,5.596139999999999,10.768799999999999,0.11699999999999998
4,5,2.5,1.5,31.0,25.6,3.11,4.83,8.3,112.4,0.5454000000000002,0.13884000000000002,0.5928599999999997,0.05976000000000001,5.137439999999999,13.461,0.11699999999999998
5,6,3.0,1.75,31.5,24.3,3.11,5.79,8.31,52.2,0.5454000000000002,0.16197999999999999,0.5697199999999998,0.05976000000000001,5.87136,12.3072,0.08775
6,7,2.5,0.5,31.9,28.0,2.23,3.86,8.22,45.6,0.3669599999999997,0.18431999999999998,1.743,0.05976000000000001,9.544500000000001,20.1915,0.0788
7,8,0.35,0.35,30.5,28.0,1.73,3.86,8.29,54.0,0.3669599999999997,0.18431999999999998,1.743,0.05976000000000001,14.9985,22.4991,0.09849999999999998
8,9,0.5,0.5,30.5,25.0,1.41,3.22,8.28,32.4,0.4128299999999997,0.18431999999999998,2.81476,0.08964,18.31635,22.4991,0.1576
9,10,3.0,1.0,32.3,23.0,1.43,4.83,8.22,52.0,0.4586999999999997,0.20736,2.0993399999999998,0.09960000000000001,12.725999999999999,22.4991,0.16745000000000002
10,11,0.5,0.5,31.4,24.0,2.91,4.83,8.3,42.0,0.4586999999999997,0.2304,1.7300600000000002,0.029880000000000004,12.725999999999999,23.6529,0.17729999999999999
11,12,2.35,1.0,32.4,24.2,1.39,3.86,8.3,66.4,0.8256600000000001,0.18431999999999998,1.7763400000000003,0.03984000000000001,13.40775,23.845200000000002,0.17729999999999999
12,13,2.5,0.5,32.3,24.2,2.01,4.83,8.26,23.31,0.2293500000000002,0.16128,1.3764199999999998,0.049800000000000004,13.2714,20.576100000000004,0.18714999999999998
13,14,1.5,1.0,31.7,24.2,1.21,5.79,8.26,52.4,0.2293500000000002,0.2304,1.3069999999999997,0.049800000000000004,13.2714,21.345299999999998,0.18714999999999998
14,15,2.5,1.25,29.9,24.32,6.45,6.44,8.21,11.2,0.3332700000000001,0.6620699999999999,5.28993,0.14055999999999996,3.38855,30.295999999999992,0.19700000000000004
15,16,1.75,0.0,29.1,28.16,7.74,6.44,8.22,71.61,0.4761000000000001,0.31962,1.8231000000000002,0.14055999999999996,6.3073999999999995,37.87,0.19700000000000004
16,17,1.25,1.0,29.0,28.16,5.47,6.44,8.2,31.4,0.4761000000000001,0.11414999999999999,0.87785,0.14055999999999996,3.724049999999999,38.248699999999985,0.22655
17,18,2.5,0.0,27.7,33.28,165.0,6.44,7.9,327.0,0.9998999999999997,0.9216,3.765600000000001,0.0693,0.4628999999999999,34.68125,0.291
18,19,2.0,0.75,29.5,28.16,15.8,6.44,8.23,40.0,0.4761000000000001,0.11414999999999999,0.9175300000000002,0.14055999999999996,3.724049999999999,38.248699999999985,0.22655
19,20,2.25,0.25,29.9,24.32,74.8,6.44,8.22,168.0,0.57132,0.15980999999999998,1.0305899999999997,0.15059999999999998,4.026,39.76349999999999,0.22655
20,21,1.5,0.25,29.0,24.32,49.5,4.83,8.21,110.5,0.57132,0.27396,2.26556,0.17067999999999997,4.0931,36.355199999999996,0.19700000000000004
21,22,1.25,0.0,27.5,32.51,178.0,6.76,7.95,366.0,1.2726,2.304,1.9966000000000008,0.08910000000000001,0.4628999999999999,32.1625,0.3104
22,23,1.5,0.65,28.5,23.06,3.68,6.44,8.12,82.83,4.128299999999999,0.23140000000000002,2.8453999999999997,0.0497,9.28395,53.323200000000014,0.196
23,24,1.5,0.25,29.2,23.04,20.2,6.44,7.6,125.2,3.3026400000000002,0.23140000000000002,2.4608000000000003,0.0497,9.0459,48.139,0.27440000000000003
24,25,1.5,0.1,29.1,22.7,97.0,6.11,8.01,310.2,2.7521999999999998,0.46279999999999993,2.6139999999999994,0.06958,10.140929999999999,48.139,0.29400000000000004
25,26,1.25,0.0,28.7,22.7,94.0,7.72,8.33,218.4,3.5778600000000003,0.46279999999999993,2.92168,0.06958,15.711299999999998,44.25085,0.21560000000000004
26,27,1.25,0.0,28.1,16.66,103.0,7.72,7.88,177.6,2.56473,0.42047999999999996,0.9532800000000001,0.0994,44.17633,47.08125,0.36860000000000004
27,28,1.25,0.0,28.9,23.04,39.2,4.83,8.11,230.8,3.6696000000000004,0.48594,3.3600600000000003,0.07952,13.56885,46.2875,0.21560000000000004
28,29,1.2,0.0,28.9,22.5,204.0,4.18,8.24,540.5,2.84394,0.53222,3.0061,0.07952,15.09237,40.177550000000004,0.21560000000000004
29,30,1.25,0.05,27.5,14.84,52.9,7.08,7.95,136.6,2.6081999999999996,0.21024,0.05688000000000018,0.08945999999999998,46.099129999999995,52.50625,0.49469999999999986
30,31,1.0,0.02,27.0,25.6,14.1,6.44,8.52,12.0,1.8257399999999993,0.09344,0.55528,0.03976,13.89223,54.05625,0.7372
31,32,1.0,0.1,26.8,5.12,37.5,6.12,8.17,69.5,3.0429000000000004,0.4672,0.94472,0.07952000000000002,42.10932,42.81875,0.40739999999999993
32,33,3.0,0.25,27.6,5.12,19.6,6.44,8.1,16.42,4.12965,0.28032,0.024960000000000204,0.05964,115.37,42.625,0.5140999999999999
33,34,1.5,0.0,27.5,30.72,117.0,7.08,7.94,221.0,1.4089500000000001,1.3823999999999999,0.3753000000000002,0.08910000000000001,0.37032,54.05625,0.582
34,35,2.25,0.0,27.5,28.16,241.0,7.08,7.9,434.0,0.9544500000000002,1.3823999999999999,0.7268400000000004,0.0693,0.37032,41.26875,0.582
35,36,3.0,0.1,27.5,31.23,85.4,6.44,7.88,174.2,0.9544500000000002,1.8432,2.2581,0.0792,0.37032,41.26875,0.5334999999999999
0,1,2.0,1.25,31.5,25.0,2.75,6.44,8.25,31.6,18.516000000000002,0.7963200000000001,1.47282,0.16302000000000003,27.3609,71.72895,1.04325
1,2,2.5,0.75,31.5,25.1,16.1,7.08,8.11,48.0,5.508509999999999,0.06636,1.93356,0.054340000000000006,27.27,47.697,0.1755
2,3,2.0,0.75,31.2,25.8,16.3,7.08,8.35,40.4,3.7031999999999994,0.06636,1.54896,0.16302000000000003,18.816300000000002,32.6541,0.1755
3,4,2.5,2.0,31.1,25.85,4.9,7.08,8.4,30.0,4.1661,0.15483999999999998,1.57586,0.21736000000000003,24.497550000000004,44.028,0.2535
4,5,2.0,2.0,31.4,25.6,1.82,7.08,8.23,29.6,5.091899999999999,0.11059999999999999,1.6200999999999999,0.054340000000000006,18.952650000000002,33.3879,0.08775000000000001
5,6,2.75,1.25,31.4,25.34,2.79,6.44,8.08,32.0,4.999319999999999,0.24332,1.98736,0.054340000000000006,16.7256,33.3879,0.0975
6,7,2.75,1.0,31.5,25.85,4.01,7.08,8.3,35.6,4.860449999999999,0.06636,1.8951,0.054340000000000006,21.95235,33.3879,0.195
7,8,0.75,0.75,31.5,25.85,2.14,6.44,8.45,43.6,5.091899999999999,0.06636,1.47204,0.16302000000000003,34.542,31.920299999999994,0.2925
8,9,0.75,0.75,31.7,25.0,0.07,9.66,8.39,35.9,4.999319999999999,0.2212,1.62488,0.21736000000000003,26.22465,29.718899999999998,0.39
9,10,2.25,1.0,31.3,25.72,7.99,6.44,8.27,47.2,0.8332199999999994,0.13272,1.59798,0.38038000000000005,15.6348,31.553399999999993,0.5752499999999999
10,11,0.5,0.5,30.0,25.72,4.66,7.72,8.5,37.6,4.1661,0.13272,1.40568,0.054340000000000006,23.7249,29.718899999999998,0.1755
11,12,2.5,0.65,29.6,25.6,9.8,6.45,8.07,35.6,4.999499999999999,0.53337,4.5048900000000005,0.09708,26.95185,39.81419999999999,0.30768
12,13,3.25,0.75,30.5,25.72,15.4,8.05,8.27,59.6,2.7773999999999996,0.02212,1.5932,0.16302000000000003,20.86155,31.736849999999993,0.18525
