,St. No,Depth,S.D,W.T,Salinity,Turbidity,DO,pH,TSM,NH4-N,NO2-N,NO3-N,PO4-P,SiO2-Si,TN,TP
11,12,2.25,1.25,32.1,16.0,7.34,5.6,8.35,20.8,1.344,0.0438,0.3544,0.526,17.047800000000002,7.3313999999999995,1.331
12,13,2.0,1.25,31.5,15.1,7.16,4.3,8.36,15.6,1.68,0.0876,0.202,0.4734,14.229600000000003,7.69797,1.694
13,14,0.5,0.5,31.4,15.5,24.1,2.5,8.75,12.0,1.5540000000000003,0.0219,0.26770000000000005,0.4208,15.6618,6.842640000000001,0.8470000000000002
14,15,2.54,0.75,29.9,11.5,4.86,4.0,8.2,23.4,2.4339000000000004,0.26544,0.6833000000000001,0.3038,48.04,18.181500000000003,0.4796000000000001
15,16,2.0,0.5,31.5,16.0,5.3,3.7,8.16,8.0,2.4766000000000004,0.2212,0.65456,0.27440000000000003,39.52,14.858,0.8175
16,17,1.25,0.25,31.2,11.2,9.01,3.6,8.19,3.6,1.9642000000000004,0.17696,0.6623100000000001,0.294,31.9904,16.031000000000002,0.34879999999999994
17,18,0.85,0.25,32.5,0.23,6.25,3.3,8.83,17.2,5.03511,0.22929999999999995,1.8227500000000005,0.09432,15.37104,33.976800000000004,0.9212999999999999
18,19,1.8,1.75,30.8,9.2,3.72,3.3,8.5,10.0,2.8182000000000005,0.26544,0.5738300000000001,0.294,28.787200000000002,17.986,0.4142
19,20,2.0,0.25,30.5,12.0,7.07,3.9,8.34,4.4,2.0069,0.26544,0.90224,0.2646,32.3232,37.145,0.5232
20,21,1.5,0.25,31.0,12.6,16.6,4.4,8.29,7.2,2.0069,0.17696,1.13668,0.2842,16.432000000000002,31.866500000000006,0.545
21,22,1.25,0.0,31.5,0.18,24.2,4.1,8.75,71.6,2.57112,0.29809,2.9478799999999996,0.18864,10.37132,7.3359000000000005,0.6770999999999999
22,23,1.75,1.5,30.5,19.1,1.2,6.6,8.74,4.4,5.379300000000001,0.1744,6.80888,0.33011999999999997,35.14602,39.12480000000001,0.7862399999999999
23,24,1.75,0.25,32.1,1.39,28.3,6.9,8.69,20.0,5.4567000000000005,0.30519999999999997,2.78576,0.37728,30.668820000000004,36.753600000000006,0.62244
24,25,1.65,0.0,31.2,0.23,266.0,6.1,7.81,230.0,4.4892,0.3488,2.09344,0.42443999999999993,27.31092,16.9936,0.79716
25,26,1.5,0.0,31.4,0.25,,7.7,8.13,,5.031000000000001,0.30519999999999997,4.3121599999999995,0.42443999999999993,31.116540000000004,37.1488,0.89544
26,27,1.25,0.0,33.0,0.25,61.8,6.2,8.02,44.4,4.0,0.37110999999999994,2.1632900000000004,0.42048,49.99,20.3407,0.51982
27,28,1.5,0.0,30.5,0.46,39.1,7.7,8.48,34.11,5.6502,0.3488,6.25288,0.37728,30.183790000000005,40.705600000000004,0.52416
28,29,1.0,0.0,30.9,0.27,206.0,7.7,8.29,222.0,5.998500000000001,0.28340000000000004,6.50908,0.5187599999999999,34.43713,52.364000000000004,0.53508
29,30,1.35,0.0,32.6,0.23,190.0,6.1,7.65,172.8,2.64,0.13097999999999999,2.72022,0.37376,28.32,42.012100000000004,0.8405600000000002
30,31,1.25,0.0,32.2,0.23,67.8,3.8,8.25,58.02,2.8,0.41476999999999997,2.99083,0.18688,28.35,45.81410000000001,0.45346000000000003
31,32,1.35,0.0,32.6,0.25,165.0,4.6,7.7,198.4,4.04,0.15281,3.52999,0.14016,34.53614,46.5745,0.39816
32,33,1.0,0.0,31.6,0.2,52.0,4.4,7.7,23.6,6.4,0.37110999999999994,2.5988900000000004,0.37376,30.8284,44.1032,0.47558000000000006
33,34,1.0,0.0,31.4,10.8,14.0,3.8,8.57,26.8,2.0354699999999997,0.41273999999999994,2.7959200000000006,0.04716,6.528559999999999,32.4324,0.5327999999999999
34,35,1.25,0.5,30.9,22.03,4.25,4.6,8.23,28.0,1.8569199999999997,0.32101999999999997,2.1041300000000005,0.04716,5.2476400000000005,30.501900000000003,0.555
35,36,2.5,0.5,29.6,28.53,4.77,5.4,8.19,23.6,2.10689,0.41273999999999994,1.6766200000000002,0.09432,5.82612,33.2046,0.666
0,1,0.75,0.75,31.0,14.3,3.34,4.0,8.9,36.0,4.035200000000001,0.1135,0.5232999999999999,0.15808000000000003,9.888000000000002,15.725,1.3040999999999998
